nombre,latitud,longitud
ALOY S.C.S.,-34.90667,-57.95318
MORACCI S.C.S.,-34.9464156,-57.9553479
ANTONELLI,-34.91539,-57.94161
VIMA PROFESIONAL S.R.L.,-34.92576,-57.90727
BELARDINELLI,-34.95742,-57.89379
CIUDAD DE LA PLATA S.C.S.,-34.92488,-57.93334
GAMBIER S.C.S.,-34.93872,-57.97763
GUARINO,-34.92189,-57.96263
LA GRANJA,-34.92286,-58.01787
LUJAN S.C.S.,-34.916399,-57.97991
BOTICA DEL ROSSI,-34.8964862,-57.9561066
ROSA MISTICA,-34.93544,-57.94932
SAN LUIS,-34.92402,-57.9246
AGUILAR,-34.9183124,-57.944806099999994
TEMPESTA,-34.9396174,-57.9224377
MANES,-34.9150888,-57.9510165
ORSETTI,-34.96076,-58.00991
ALBICORO,-34.863949,-58.0548567
MELGAR,-34.8929285,-58.02016850000001
ARANA SCS,-34.8685625,-58.1006195
FRATELLI S.C.S.,-34.9549588,-57.9772153